area_ping,floor,has_elevator,building_age,condition,difficulty_multiplier,cost_demolition,cost_plumbing,cost_electrical,cost_carpentry,cost_flooring,cost_painting,cost_bathroom,cost_kitchen,trade_subtotal,supervision_fee,grand_total,monthly_rent,net_yield,payback_months
42.0,7,False,34,aging,1.35,32112,59744,116664,175325,196506,174426,111976,123042,989793,98979,1088773,38800,0.3656,32.8
45.9,6,True,19,aging,1.05,30416,68670,101292,119612,220445,132719,92684,81075,846914,84691,931605,44000,0.4846,24.8
35.1,13,True,3,normal,1.0,27414,38492,91955,109736,122966,90500,100074,84840,665978,66598,732575,38200,0.535,22.4
34.6,13,True,14,aging,1.05,22444,42288,93963,108415,101553,91891,80668,95693,636916,63692,700607,24900,0.3646,32.9
13.5,1,False,50,aging,1.15,9572,19969,33723,52951,53425,36120,42709,32426,280895,28089,308984,15300,0.508,23.6
37.9,7,True,28,poor,1.1,27941,47689,99714,137460,155557,140779,94178,98810,802128,80213,882341,38000,0.4419,27.2
36.4,14,True,8,poor,1.1,26678,52006,94379,129338,105517,135806,67183,79277,690183,69018,759202,41000,0.5541,21.7
42.1,8,True,16,normal,1.0,24275,54957,81168,127235,110183,133955,78305,108366,718444,71844,790288,37400,0.4855,24.7
42.9,7,True,6,severe,1.15,27627,61710,103183,144029,164400,116421,113605,91604,822579,82258,904836,38100,0.432,27.8
22.8,12,False,19,poor,1.5,23634,39524,64241,105298,145185,82274,70118,63430,593704,59370,653075,23200,0.3645,32.9
37.7,1,False,27,normal,1.0,33245,60363,92939,142812,128937,98382,96093,92401,745172,74517,819689,41700,0.522,23.0
23.6,3,True,27,severe,1.15,19991,36686,64528,77984,108412,97517,61266,72340,538725,53872,592597,22300,0.3861,31.1
21.5,10,True,45,normal,1.1,17080,26367,55922,66382,79032,57710,51410,41373,395275,39528,434803,25200,0.5946,20.2
13.8,13,True,54,poor,1.2,10546,20698,37578,47136,62575,72084,40369,37181,328167,32817,360983,12400,0.3524,34.0
34.1,6,True,14,normal,1.0,19335,45273,88654,94112,115092,83935,76948,58033,581381,58138,639519,31600,0.507,23.7
30.9,1,True,54,normal,1.1,20351,45631,85303,152519,151632,127365,69712,67698,720211,72021,792232,28300,0.3665,32.7
31.7,5,False,19,aging,1.15,19893,40239,65831,113969,105747,85301,76920,59477,567378,56738,624115,30200,0.4965,24.2
18.6,14,True,23,severe,1.15,15192,27185,45173,76920,93735,62498,45534,53688,419926,41993,461919,18100,0.402,29.8
25.9,11,True,5,aging,1.05,17991,37189,61911,94565,86454,100148,69127,59168,526552,52655,579208,22400,0.3968,30.2
21.2,13,True,46,normal,1.1,14230,28407,55385,76595,99176,60604,50143,47694,432235,43224,475459,21600,0.4661,25.7
48.9,10,True,10,normal,1.0,31747,46297,91811,139458,169627,130575,113399,110072,832987,83299,916285,43500,0.4871,24.6
49.6,4,False,35,normal,1.15,38566,74159,125182,207686,211443,187809,133754,123182,1101781,110178,1211959,48600,0.4114,29.2
33.8,2,False,28,normal,1.0,16811,38847,59343,115681,113741,111992,95929,73642,625988,62599,688586,33800,0.5036,23.8
18.6,7,True,17,normal,1.0,13592,20578,48626,52662,55681,40329,45629,40158,317255,31726,348981,14000,0.4116,29.2
43.3,1,False,36,normal,1.1,34925,64566,117835,170504,157713,145792,102777,109918,904029,90403,994432,43900,0.4529,26.5
26.8,7,True,33,poor,1.2,18655,45280,64327,105806,118992,88248,72250,62489,576047,57605,633652,28500,0.4615,26.0
39.5,8,True,49,aging,1.15,36640,56218,119141,159458,156417,126566,107533,124271,886246,88625,974871,34800,0.3663,32.8
12.9,15,True,8,normal,1.0,7595,17662,35732,31774,48816,33210,28412,33898,237099,23710,260809,10900,0.4288,28.0
29.3,7,False,51,severe,1.45,31221,58732,86656,109005,143661,130831,95261,80530,735896,73590,809486,23200,0.2941,40.8
16.5,7,True,54,poor,1.2,15640,22935,51385,61006,73957,74824,51370,55095,406212,40621,446833,17700,0.4064,29.5
47.6,4,False,22,severe,1.2,31647,74812,113504,163835,154858,180000,105865,116688,941211,94121,1035332,57600,0.5708,21.0
45.1,7,False,20,normal,1.2,39233,68749,123756,134483,182448,167315,143506,104320,963809,96381,1060190,44300,0.4287,28.0
25.8,1,False,26,severe,1.15,21148,24482,56486,103902,126129,72759,77567,64124,546598,54660,601258,22400,0.3822,31.4
19.2,3,False,40,severe,1.25,14908,31036,54718,77068,105276,68488,44627,54148,450269,45027,495296,18400,0.3812,31.5
16.5,7,True,11,aging,1.05,10833,22313,32905,66100,46609,39838,35147,29459,283205,28321,311526,21200,0.6982,17.2
21.5,14,True,30,poor,1.1,17140,43948,59834,76177,101459,90459,65057,63511,517585,51758,569343,25400,0.4577,26.2
25.7,13,True,11,aging,1.05,17162,31560,59903,77439,117585,73899,59543,60436,497528,49753,547281,23000,0.4312,27.8
16.0,9,True,4,aging,1.05,12773,20131,36351,49019,69381,53241,44453,36557,321907,32191,354098,14600,0.423,28.4
23.4,3,False,34,aging,1.15,16157,31474,45399,94121,91024,84321,56694,50485,469674,46967,516641,24700,0.4905,24.5
16.0,9,True,36,normal,1.1,10036,24043,44118,66929,66575,55140,35737,38093,340670,34067,374737,13900,0.3806,31.5
25.6,3,False,45,normal,1.1,20221,37603,57441,84415,96490,56956,47511,50797,451433,45143,496577,22900,0.4731,25.4
49.9,14,True,33,normal,1.1,38420,63143,125974,154542,146730,137192,125218,100235,891455,89145,980600,52800,0.5524,21.7
19.8,5,False,52,aging,1.25,15323,26882,56226,71847,80828,52701,58656,50112,412575,41258,453833,18700,0.4228,28.4
15.4,3,True,47,normal,1.1,9811,16347,35890,52179,48362,33587,27941,27445,251561,25156,276717,14400,0.5339,22.5
27.4,3,False,34,normal,1.1,22172,34047,60377,88108,87133,93639,57166,56605,499248,49925,549173,25500,0.4764,25.2
19.6,6,True,16,aging,1.05,14185,22804,40332,70248,61212,51910,41167,46423,348280,34828,383108,18300,0.4901,24.5
18.9,8,True,47,severe,1.25,9993,25449,49609,93197,66160,69927,50991,48338,413664,41366,455030,18600,0.4194,28.6
20.6,9,True,4,normal,1.0,15270,25520,48838,79155,90382,66294,46756,63996,436213,43621,479834,21100,0.4512,26.6
21.0,14,True,5,poor,1.1,16352,28261,57224,87787,96255,98948,52240,64890,501957,50196,552153,20500,0.3809,31.5
49.8,1,False,46,normal,1.1,39832,63592,122484,179492,172988,184826,121726,126871,1011812,101181,1112993,39300,0.3623,33.1
42.9,1,False,24,poor,1.1,31525,70012,85530,150690,154402,148428,114644,107629,862860,86286,949146,46600,0.5037,23.8
15.1,7,False,54,aging,1.35,13105,24389,42557,87282,61560,59655,40000,42626,371175,37117,408292,17600,0.4423,27.1
42.6,9,True,6,poor,1.1,25207,41242,91788,168526,192508,131566,77655,88669,817160,81716,898876,40800,0.4657,25.8
39.5,15,True,33,poor,1.2,24615,55011,98569,158132,168692,122249,89448,97370,814085,81408,895493,37100,0.4251,28.2
45.3,4,False,19,poor,1.15,32008,74784,159225,165143,213126,151992,102684,106050,1005012,100501,1105513,46200,0.4288,28.0
43.1,15,True,18,normal,1.0,27695,43806,95300,139009,154152,129079,81312,91229,761581,76158,837739,47500,0.5817,20.6
22.5,5,False,34,poor,1.3,20175,34906,68381,87643,84007,80026,59111,72582,506831,50683,557515,20200,0.3717,32.3
37.6,14,True,47,normal,1.1,23373,57579,112903,121283,144159,126964,87282,93790,767334,76733,844067,37000,0.4498,26.7
46.4,12,True,39,normal,1.1,29640,67869,106893,147121,181605,118803,106707,121165,879803,87980,967783,31300,0.3318,36.2
17.5,9,True,11,poor,1.1,13409,25948,39833,53159,48570,53543,38722,48173,321357,32136,353492,17800,0.5166,23.2
17.8,7,False,11,normal,1.2,14915,28885,51998,78025,68933,65373,47398,55236,410762,41076,451839,15600,0.3542,33.9
40.6,9,True,21,poor,1.1,35656,61705,101494,162227,161515,132837,102475,92518,850427,85043,935469,36100,0.3959,30.3
49.0,15,True,40,normal,1.1,31979,62238,111555,152473,185768,122754,116512,109085,892363,89236,981600,49700,0.5195,23.1
33.6,12,True,53,poor,1.2,32085,51049,98634,120462,106299,103624,91000,77497,680649,68065,748714,28000,0.3837,31.3
27.2,14,False,31,normal,1.5,26350,53643,89058,119537,134231,134133,86210,81505,724667,72467,797134,26400,0.3398,35.3
47.7,10,True,21,aging,1.05,36856,60350,94330,165774,160174,161872,99932,120797,900086,90009,990094,41800,0.4332,27.7
36.0,7,True,50,poor,1.2,33153,54998,112419,118629,162820,95654,79616,92045,749334,74933,824267,36200,0.4506,26.6
28.2,4,False,9,normal,1.05,18684,32559,73753,103601,104938,109332,53270,55351,551488,55149,606637,31000,0.5243,22.9
47.5,3,False,18,poor,1.1,34032,70630,108979,145981,194093,175696,122686,111690,963786,96379,1060165,53600,0.5187,23.1
47.9,7,True,20,poor,1.1,29029,72711,121717,230563,165126,183149,115472,105197,1022963,102296,1125259,45900,0.4185,28.7
39.9,10,True,33,aging,1.15,29153,47069,113257,124616,195512,130654,89920,90632,820812,82081,902893,41100,0.467,25.7
45.1,15,True,11,normal,1.0,33154,63326,87028,138433,235423,140777,99777,103582,901500,90150,991650,44900,0.4646,25.8
16.5,12,False,4,normal,1.45,17172,38356,59147,77694,77568,78284,47356,46501,442078,44208,486285,16900,0.3566,33.7
43.9,14,True,17,aging,1.05,30034,67143,121132,131684,151982,128065,95910,110969,836919,83692,920611,36400,0.4057,29.6
17.7,14,False,34,poor,1.5,18885,36065,68350,89533,107790,91894,57108,50301,519925,51992,571917,19500,0.3498,34.3
28.2,5,False,42,aging,1.25,35523,43363,84835,116401,160751,104269,94308,91143,730593,73059,803652,29000,0.3702,32.4
17.7,5,True,46,normal,1.1,11617,22013,40089,61807,88814,63216,49261,43310,380128,38013,418141,16800,0.4122,29.1
40.9,8,True,23,normal,1.0,27748,43020,102271,129375,135530,120699,78332,79530,716505,71651,788156,45700,0.5949,20.2
16.2,6,True,13,poor,1.1,10700,20003,37192,64355,67248,44195,36103,34604,314401,31440,345841,20500,0.6082,19.7
48.4,10,False,27,normal,1.35,54654,79179,164915,207615,249765,189087,158371,139875,1243460,124346,1367806,45100,0.3383,35.5
34.1,1,False,21,aging,1.05,19846,34184,71512,119173,97318,86746,71781,71827,572387,57239,629625,31600,0.5149,23.3
28.5,3,False,25,normal,1.0,18614,29645,52476,72837,108188,71096,67308,52306,472471,47247,519718,29300,0.5784,20.7
41.6,8,True,12,normal,1.0,27776,50903,92370,161218,123456,111865,99929,131196,798712,79871,878584,35700,0.4169,28.8
27.9,7,True,7,normal,1.0,15508,33466,64593,96944,92455,85353,80601,62242,531162,53116,584278,25700,0.4513,26.6
30.6,9,True,12,normal,1.0,23688,34944,68343,89460,137698,111641,67707,67016,600498,60050,660548,29100,0.452,26.5
14.4,3,False,24,normal,1.0,8890,17373,31816,46842,57746,43941,30027,34476,271111,27111,298222,11500,0.3956,30.3
35.5,10,True,25,aging,1.05,20264,51119,91401,101891,115938,91084,86807,83335,641839,64184,706023,38600,0.5609,21.4
46.3,4,False,16,normal,1.05,39299,53728,131098,170789,158270,154269,117149,113023,937625,93763,1031388,50200,0.4994,24.0
26.1,6,True,17,aging,1.05,16893,33652,77340,83342,100256,89222,63018,54749,518472,51847,570320,26200,0.4713,25.5
39.2,9,False,18,aging,1.35,39301,54714,118017,172368,186095,171617,109332,102790,954234,95423,1049658,32800,0.3206,37.4
39.0,9,False,48,normal,1.4,28359,60532,134702,204387,151665,186139,134899,123883,1024566,102457,1127023,43700,0.3978,30.2
49.2,8,True,23,normal,1.0,25914,40494,107955,168621,123615,133811,128985,112820,842213,84221,926435,37600,0.4164,28.8
28.2,12,True,13,aging,1.05,22823,43744,79502,91301,99254,90042,68371,54784,549820,54982,604802,29600,0.5021,23.9
24.0,11,True,43,aging,1.15,17289,39326,64203,76644,106269,81263,51755,47155,483906,48391,532296,20600,0.3971,30.2
40.3,6,False,9,normal,1.15,28500,69833,130235,145969,152145,132639,118725,94084,872131,87213,959344,36600,0.3914,30.7
17.8,9,False,50,poor,1.5,21010,30912,59367,100251,70006,71199,62183,73196,488124,48812,536936,19300,0.3688,32.5
41.0,7,False,24,normal,1.2,28249,60849,122394,191438,181144,174179,121707,111361,991321,99132,1090453,35800,0.3368,35.6
47.9,12,False,53,aging,1.5,43060,69002,190069,214764,304339,290705,155846,158176,1425960,142596,1568556,48600,0.3179,37.7
21.5,4,False,39,aging,1.2,14375,27079,51606,83548,77776,67198,51875,51982,425439,42544,467982,20600,0.4516,26.6
28.6,5,False,34,poor,1.3,26926,45526,105985,139466,117916,114393,96759,93409,740379,74038,814417,33800,0.4258,28.2
28.7,8,True,28,aging,1.05,20654,31499,66392,115348,176276,86659,63856,63241,623925,62392,686317,23200,0.3468,34.6
27.4,12,True,43,poor,1.2,21378,42003,90393,122989,153813,102187,79437,80717,692917,69292,762209,29100,0.3917,30.6
32.5,10,False,50,poor,1.5,32191,50134,111005,185483,173747,153167,116977,88759,911461,91146,1002607,33700,0.3449,34.8
21.0,11,True,20,aging,1.05,17108,32898,46627,75459,79382,60339,59808,56424,428044,42804,470848,16100,0.3508,34.2
26.1,7,True,48,aging,1.15,25060,35864,67525,102436,88066,108483,60160,72864,560458,56046,616504,21500,0.3578,33.5
14.4,7,True,9,poor,1.1,11341,21820,44044,54524,66160,55194,39399,46835,339319,33932,373251,12500,0.3436,34.9
35.4,3,False,50,aging,1.15,24683,44527,83721,133796,153906,134012,101576,74457,750678,75068,825746,33700,0.4187,28.7
47.1,11,True,32,severe,1.25,31268,74245,134685,162889,159466,137129,120354,142265,962301,96230,1058531,45600,0.442,27.2
37.2,8,True,9,normal,1.0,23874,41480,77427,108292,113491,97093,51870,71498,585027,58503,643529,36200,0.5771,20.8
35.9,13,False,51,severe,1.5,37541,78919,113669,185458,202334,163540,140188,126020,1047670,104767,1152437,30600,0.2724,44.0
28.1,12,True,45,aging,1.15,19584,33581,74834,103449,158802,87100,70401,72012,619761,61976,681738,25500,0.3838,31.3
36.9,10,True,13,aging,1.05,25373,43304,89192,110688,136185,85748,85878,62878,639246,63925,703170,41600,0.607,19.8
24.1,7,True,48,poor,1.2,19738,30733,77971,113566,88889,104572,74140,63342,572950,57295,630245,24700,0.4021,29.8
39.4,8,False,23,normal,1.25,35904,62764,110980,149182,158152,176393,99634,93141,886152,88615,974768,37300,0.3926,30.6
32.2,7,False,8,aging,1.25,23979,55186,90166,153674,158850,126087,117461,114573,839975,83997,923972,34100,0.3787,31.7
38.9,7,True,26,poor,1.1,25815,44248,111497,155588,144796,130565,99666,99335,811510,81151,892661,32400,0.3724,32.2
47.8,4,False,30,normal,1.05,35955,78071,120609,175793,152304,143188,110161,100182,916263,91626,1007889,40400,0.4113,29.2
21.0,5,False,38,normal,1.2,15367,27420,58644,76913,104828,94485,65851,54719,498226,49823,548049,18700,0.3501,34.3
25.2,12,True,36,normal,1.1,20553,35939,48231,102050,117831,77096,61096,60595,523389,52339,575728,22400,0.3992,30.1
30.5,6,True,45,poor,1.2,23367,41944,86906,110595,95932,85810,75277,65351,585183,58518,643701,34500,0.5499,21.8
17.6,8,True,12,poor,1.1,15881,23218,42948,51547,69584,63740,42041,34611,343568,34357,377925,19000,0.5158,23.3
45.0,11,True,5,poor,1.1,30933,58637,128863,183164,193507,147398,99028,100769,942299,94230,1036529,34600,0.3425,35.0
32.8,15,False,19,normal,1.5,33707,79706,151063,148366,159811,184607,97713,102613,957586,95759,1053345,33800,0.3292,36.4
30.7,9,False,32,normal,1.4,27021,46742,97590,101148,178207,159352,77957,76186,764202,76420,840622,32100,0.3918,30.6
37.5,11,False,22,normal,1.4,32509,74309,132174,182466,169346,175033,108818,123055,997709,99771,1097480,34900,0.3263,36.8
28.6,5,True,43,aging,1.15,23890,44518,77096,131736,95146,96585,84073,63891,616935,61693,678628,25300,0.3825,31.4
30.5,9,True,16,normal,1.0,18519,35513,58723,98793,111974,82899,72741,60895,540058,54006,594064,32200,0.5561,21.6
27.2,1,False,46,normal,1.1,14937,34074,62504,99981,115657,82490,59632,59903,529177,52918,582094,22000,0.3878,30.9
18.1,11,False,33,poor,1.5,20944,38515,69308,88659,100076,90600,70314,56953,535369,53537,588906,20200,0.3519,34.1
47.2,2,False,45,severe,1.25,36622,63111,125906,220112,168986,159068,129022,133861,1036688,103669,1140357,41100,0.3698,32.5
48.2,15,True,35,severe,1.25,47313,77089,148590,175167,241160,195955,129322,168239,1182834,118283,1301117,51500,0.4061,29.5
34.3,15,True,9,poor,1.1,22681,56829,91795,105459,147501,133077,81186,97060,735588,73559,809146,31300,0.3969,30.2
28.7,1,False,44,normal,1.1,23771,41245,69500,99401,106556,86021,75391,82449,584334,58433,642768,24700,0.3943,30.4
12.1,11,False,16,normal,1.4,11576,19529,32599,52618,64162,49369,33452,39021,302326,30233,332559,10700,0.3301,36.4
31.4,11,True,4,poor,1.1,24398,39171,84127,108497,123742,79338,70210,71285,600767,60077,660844,29600,0.4596,26.1
41.7,14,False,38,severe,1.5,36331,75125,132148,160436,217538,170798,136244,132253,1060873,106087,1166960,31200,0.2743,43.7
46.6,5,False,51,poor,1.3,47271,82239,119450,189106,198918,185651,128123,106709,1057467,105747,1163214,43000,0.3793,31.6
35.2,9,True,7,aging,1.05,27090,50487,85525,141199,157933,137713,79290,85009,764246,76425,840670,34200,0.4174,28.7
39.1,6,False,49,normal,1.25,30839,67003,132708,157410,204752,147973,98216,90034,928936,92894,1021830,40900,0.4107,29.2
34.9,1,False,4,normal,1.0,26245,42212,83167,112334,111386,82417,91130,82001,630891,63089,693980,30900,0.4568,26.3
46.2,15,True,54,poor,1.2,41685,84132,169960,187686,151391,141384,138078,129171,1043488,104349,1147836,35700,0.3191,37.6
46.2,5,False,3,normal,1.1,34960,63824,97946,201237,163938,147381,112539,124000,945826,94583,1040408,39100,0.3856,31.1
25.2,5,False,44,normal,1.2,16805,38213,64957,100015,102872,72102,80786,59959,535709,53571,589279,26600,0.4631,25.9
25.4,7,True,25,normal,1.0,19068,39301,54902,72108,104309,64122,57368,57679,468856,46886,515741,28000,0.557,21.5
28.1,14,False,52,poor,1.5,26770,60010,99215,153922,153359,131714,97412,82107,804508,80451,884959,28400,0.3293,36.4
27.4,5,False,53,aging,1.25,31232,55253,83904,98571,137798,115676,82774,109595,714802,71480,786283,26600,0.3471,34.6
25.9,15,False,13,poor,1.5,27693,53283,81523,98607,100340,101440,90731,70085,623702,62370,686073,21100,0.3155,38.0
13.1,6,True,10,poor,1.1,7943,18603,27319,46580,39434,37188,31738,26288,235094,23509,258603,14500,0.5753,20.9
46.0,8,False,15,normal,1.25,50955,48307,127564,187746,193433,169627,116493,117212,1011336,101134,1112470,49000,0.4519,26.6
49.2,4,True,54,aging,1.15,32557,71564,118234,180687,181069,198367,115769,132619,1030866,103087,1133952,47600,0.4307,27.9
15.1,8,True,54,aging,1.15,9412,25525,41078,65000,53186,59156,36381,34129,323867,32387,356254,15000,0.432,27.8
25.0,5,False,30,normal,1.1,16151,31264,63849,84210,67448,81460,49826,61620,455828,45583,501411,21400,0.4379,27.4
22.5,14,True,45,aging,1.15,18308,30724,54758,114779,103599,69405,51457,49732,492763,49276,542040,21500,0.407,29.5
36.4,15,True,26,normal,1.0,19898,40381,81363,120378,151026,76564,82626,87696,659931,65993,725924,30400,0.4297,27.9
31.1,7,True,22,normal,1.0,23248,42335,92058,111776,108541,82674,77724,61263,599619,59962,659581,26300,0.4091,29.3
17.9,14,False,45,normal,1.5,18876,24233,55967,65726,97736,67092,64029,55204,448863,44886,493749,17700,0.3678,32.6
15.2,4,True,26,poor,1.1,10472,23092,37537,62881,61791,47209,46643,37799,327425,32742,360167,12000,0.3418,35.1
38.5,4,False,27,aging,1.1,32625,48663,109255,152330,130127,159010,114202,88128,834341,83434,917775,42400,0.474,25.3
31.4,3,True,37,poor,1.2,26362,43801,71352,106621,117285,101318,82385,59090,608214,60821,669036,28800,0.4417,27.2
36.5,9,True,31,aging,1.15,28758,55462,91872,154924,161010,101166,90337,74013,757542,75754,833297,30700,0.378,31.7
31.6,5,False,20,aging,1.15,26797,44568,99605,111229,113449,98412,78033,64896,636989,63699,700688,31800,0.4656,25.8
33.7,9,True,31,aging,1.15,22978,58462,91578,133935,131302,111243,91229,108290,749017,74902,823919,35300,0.4396,27.3
27.3,12,True,18,poor,1.1,17878,42455,65352,86254,113840,77245,71505,83369,557897,55790,613687,32600,0.545,22.0
32.3,14,True,16,poor,1.1,23268,40862,66818,102551,118770,119787,65536,74714,612306,61231,673537,37300,0.5682,21.1
22.2,15,True,10,poor,1.1,15700,34459,47673,79955,114220,81741,56122,66272,496142,49614,545756,20300,0.3816,31.4
40.9,7,False,53,normal,1.3,39057,77514,156626,167226,192306,197911,123420,119542,1073603,107360,1180964,44300,0.3849,31.2
12.8,12,True,42,aging,1.15,7470,19517,32021,35108,36231,32507,29278,25069,217200,21720,238920,14100,0.6055,19.8
49.3,12,False,10,aging,1.5,55962,87544,169669,188353,229110,231996,207239,158746,1328620,132862,1461482,47300,0.3321,36.1
49.6,15,True,6,poor,1.1,36757,59796,132629,196476,242747,137809,130630,87907,1024752,102475,1127227,53000,0.4824,24.9
26.1,5,True,15,poor,1.1,24829,42158,69839,132859,106080,72963,63981,80724,593433,59343,652776,24700,0.3882,30.9
22.0,14,True,18,poor,1.1,13731,24592,46950,79142,75491,65206,52574,49071,406757,40676,447433,21000,0.4815,24.9
31.7,8,True,19,normal,1.0,23172,37685,65666,129185,76721,100905,68094,62962,564390,56439,620829,29200,0.4826,24.9
12.2,1,True,49,aging,1.15,8496,20289,34890,52389,55591,49977,40270,22817,284719,28472,313191,12400,0.4062,29.5
31.2,13,True,6,normal,1.0,20997,40208,83211,100117,112703,116718,72956,62700,609610,60961,670571,34700,0.5309,22.6
40.5,14,True,28,poor,1.1,32814,60407,107092,181625,166581,188775,83000,105445,925739,92574,1018313,42000,0.4232,28.4
28.7,1,False,8,normal,1.0,22087,39858,74248,82451,113430,85798,70936,58026,546834,54683,601518,23600,0.4025,29.8
15.7,15,True,45,severe,1.25,12922,23231,44364,67662,51294,54884,37717,51514,343589,34359,377948,14500,0.3936,30.5
25.0,13,True,36,normal,1.1,20027,36502,72435,91130,113815,87700,55204,54000,530814,53081,583895,23500,0.4129,29.1
25.8,13,True,23,normal,1.0,17077,28719,73105,90917,101852,81783,59448,53905,506805,50681,557486,28100,0.5172,23.2
47.9,2,False,10,aging,1.05,24141,56428,95541,164315,120501,183862,88617,119578,852983,85298,938282,46900,0.5128,23.4
45.7,11,True,11,aging,1.05,29655,54201,128437,130208,178027,132593,106584,101295,861000,86100,947100,39900,0.4322,27.8
22.0,9,False,15,normal,1.3,22409,38806,72370,108161,86656,80939,70096,49514,528952,52895,581847,24200,0.4267,28.1
15.0,1,True,43,severe,1.25,13737,23090,39686,42079,56986,44734,31740,38653,290705,29071,319776,17300,0.5551,21.6
22.2,4,False,33,normal,1.15,16364,26442,59113,68011,94418,65268,59387,60492,449495,44950,494445,20000,0.415,28.9
37.3,14,True,13,poor,1.1,22238,42744,93045,159698,146005,105609,82170,67314,718824,71882,790707,35400,0.4593,26.1
34.8,10,True,18,aging,1.05,23940,51652,84665,108576,143825,87493,84109,79784,664044,66404,730448,34400,0.4832,24.8
40.6,3,False,41,severe,1.25,32115,58585,107172,156866,205232,158634,139584,92576,950764,95076,1045841,35800,0.3512,34.2
49.6,2,False,14,severe,1.15,44724,71294,137722,189907,255596,160344,134222,125543,1119351,111935,1231287,48600,0.405,29.6
44.6,6,True,19,poor,1.1,39920,83119,163037,171097,177138,186037,143396,112866,1076609,107661,1184270,43100,0.3734,32.1
47.2,10,True,32,poor,1.2,45847,57175,152671,192424,220276,195652,132137,147192,1143374,114337,1257711,46600,0.3801,31.6
20.6,5,False,49,normal,1.2,15694,27684,57824,97911,114348,90168,45753,66521,515901,51590,567491,19900,0.3598,33.4
32.4,8,True,32,normal,1.1,29181,40739,88939,134522,146225,117203,84205,83292,724306,72431,796737,29600,0.3812,31.5
47.3,12,True,50,normal,1.1,30176,70729,134158,203816,173446,145730,121789,112820,992664,99266,1091931,37600,0.3533,34.0
45.2,5,True,37,normal,1.1,34111,55704,122370,165353,172175,113251,131110,100247,894322,89432,983754,33800,0.3525,34.0
23.7,4,False,41,poor,1.25,21406,36817,71412,123624,93254,99495,79726,63838,589572,58957,648529,27700,0.4382,27.4
16.9,4,False,13,poor,1.15,9861,26040,46767,63747,51598,60710,49310,42866,350898,35090,385988,14900,0.3961,30.3
39.9,11,True,17,poor,1.1,28276,50833,93187,163822,182456,139808,103537,80008,841927,84193,926120,37300,0.4132,29.0
43.6,2,True,8,normal,1.0,36070,49050,157033,196505,163703,112156,118041,92171,924728,92473,1017201,46200,0.466,25.8
35.2,5,False,13,normal,1.1,21276,55193,87998,141300,125753,113106,75391,95909,715927,71593,787520,35700,0.4651,25.8
39.3,4,False,8,normal,1.05,30907,44817,92530,123253,125458,117401,84516,78767,697649,69765,767414,39500,0.5281,22.7
15.4,3,True,51,aging,1.15,12113,28124,44837,59594,64957,58851,45323,34668,348467,34847,383314,16800,0.4497,26.7
34.9,13,True,34,normal,1.1,29738,55613,112758,159071,134851,94043,84643,90729,761446,76145,837591,31100,0.381,31.5
39.2,2,False,53,aging,1.15,31325,54490,108591,126587,141217,130671,110683,71755,775321,77532,852853,36300,0.4367,27.5
37.4,10,False,43,normal,1.45,33400,68754,112956,185413,202598,146162,103122,95222,947627,94763,1042390,30900,0.3041,39.5
29.9,8,False,28,normal,1.25,19799,51633,90375,122053,136930,121748,79644,76046,698228,69823,768051,30200,0.4034,29.7
24.2,6,False,6,normal,1.15,16899,35193,71928,89407,99931,85087,67625,57872,523943,52394,576337,22000,0.3916,30.6
48.3,9,True,12,normal,1.0,34668,72299,99307,178939,182187,123983,94966,94002,880351,88035,968387,54700,0.5795,20.7
19.4,11,True,31,aging,1.15,12115,23246,45570,62511,84971,73793,47924,50294,400424,40042,440467,18000,0.4193,28.6
38.0,1,True,8,aging,1.05,22422,51108,82387,116422,118628,141206,82940,80996,696109,69611,765720,38400,0.5145,23.3
49.5,1,False,44,normal,1.1,36954,59681,116499,170439,166178,113631,118022,102733,884136,88414,972550,45800,0.4832,24.8
41.7,1,True,25,aging,1.05,30099,47706,108947,131069,171391,152541,93146,104691,839590,83959,923549,35300,0.3922,30.6
35.5,1,False,3,severe,1.15,23278,51560,109932,137182,122859,119267,82504,86584,733165,73317,806482,30400,0.3867,31.0
22.9,4,False,46,normal,1.15,16090,30805,67653,94313,87865,59755,65814,57050,479346,47935,527280,19800,0.3853,31.1
32.7,5,False,18,poor,1.2,25557,56155,83092,120005,120358,100934,94416,84691,685207,68521,753727,31000,0.422,28.4
27.6,10,True,46,aging,1.15,28359,40188,79547,132548,135298,83137,82620,76372,658069,65807,723876,24500,0.3473,34.6
20.8,2,True,39,poor,1.2,17278,28993,52483,88192,77053,71769,52672,52188,440628,44063,484690,18400,0.3895,30.8
24.5,11,True,15,normal,1.0,14809,26728,44509,90944,75707,59927,57004,49434,419062,41906,460969,21600,0.4808,25.0
36.7,9,True,20,severe,1.15,28184,48344,91565,147972,180435,124088,88307,85397,794291,79429,873720,35900,0.4216,28.5
23.8,3,True,13,aging,1.05,19560,36092,63060,99883,95712,67219,60581,50374,492482,49248,541730,25500,0.483,24.8
42.9,12,True,45,normal,1.1,30400,64695,148037,157476,153685,198108,111240,110810,974450,97445,1071895,43300,0.4145,29.0
17.0,7,True,27,aging,1.05,13029,22423,37734,51381,51169,43441,41473,45021,305672,30567,336239,17000,0.5187,23.1
36.4,3,True,34,normal,1.1,25364,46998,76436,120468,160956,137394,96924,111807,776346,77635,853981,39200,0.471,25.5
30.0,10,True,44,severe,1.25,22623,42078,79983,119493,152991,111731,66357,75809,671064,67106,738170,27100,0.3767,31.9
